IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
177.54.154.43   | FKKZjMKs41ZvaHmURHUybgzB8nvbHPZgYoTe3TQp7ejp | 8801   | 8002  | 8008     | none                  | 3.0.12  | 3604001754
208.91.110.105  | 6wZko4kUiE63wzwoPZs32qor5Lbyi7fAgjMMpgUHhtHJ | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
51.222.162.200  | 5mnM72zgAzWdS8MqNHuTEb7MGZX1WspAFjcd7DrZomTv | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
64.130.53.236   | GHtXNmDRrA82uhk1RD3WLAnxCWvq42AEbBKEzYwnjQ8E | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
72.46.85.39     | DbSa4G3AJzPFVftjQowiaKqUsTD1rEDjQp1nUT5E3SyQ | 8001   | 8004  | 8010     | none                  | 3.0.0   | 3969794806
103.88.234.125  | LedZc7mzwbjtkJRqgcSEaHjNzAXYSGdr5AYTFQHG5GV  | 8000   | 8003  | 8009     | 103.88.234.125:18899  | 3.0.12  | 3604001754
86.105.224.100  | 7fVFFfh2qapL29LrivA8rr5UfY176G7QoZbCRFqgf7Fc | 8002   | 8005  | 8011     | none                  | 3.0.6   | 3604001754
64.130.42.200   | 26hEa7Y2mFfy8A5KSQNtKf837NSXMx6tPLdGyVYuF4He | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
204.16.242.209  | 6RvYztmmFS2H8ZP7rijDXg5oETniBhPXfQ3VKsXDKfbo | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
67.213.113.195  | 7CRNd9cW7LATo1a1Fx1RaSiUKVGkNRaP8cDXu9tvoWFj | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
185.191.116.238 | 7app55f81PWjLR73nBeB45xdedvS3HTMKyBs2ETWta3k | 8001   | 8004  | 8010     | none                  | 3.0.8   | 3604001754
64.130.53.242   | FaZtr9NsWDFasGKQk9RTkEaAWfyzE1m3kHNxUM526fG5 | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
51.68.222.126   | 2aokuN1g6vkPBCukwiVuUtyJF4RouVhQTLG5MLkcprYj | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
104.204.141.245 | FNmyHJatex4nsVEMiHPSwShqzMJebQz16qtDv1LP68cn | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
198.244.135.123 | 5MqCpRuYrXWKbj6EQjL1zbtmDT4ec59faM6PpzE4Nb6q | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
5.135.174.156   | 36MEjd5PbPYExCCZdHT5jTgs3ZtCTHVrC1EbMAwAj7jU | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
8.217.254.152   | CFqKVzDKYtjU2aupUSfkf3QmNb4Y2zxBEV1ianQVP8Rb | 8001   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
84.32.186.116   | HgkX21YEqBf9bGcUMLvANarCyCEyPUnoqWqDhdBjiRLz | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
86.105.224.130  | JEK4bfxdybDFyz1UivvyF9T1uzLkqcfgN9QV9nGDWuNe | 18000  | none  | none     | none                  | 3.0.6   | 3604001754
64.31.54.37     | GGevwfs6maMANtY1kbc2bJ8xKsaeDZ6zvX5y9TJnk9Jg | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
173.231.45.2    | 68HiYeNipx7LdbGEVWy5smkqwBvkMBi63JYVxpMyxBTD | 8001   | 10004 | 10010    | none                  | 3.0.10  | 3604001754
143.198.91.88   | 96HD3EMzvSdJxZUzyN41WidUK3Biwr9ACC6u3zNFuPYP | 9002   | none  | none     | none                  | 4.0.0   | 1718981463
45.250.255.181  | CpLt8qqtnsYndAvpbhwbv5tJq6v5fcvGSKx5TFyMhrus | 8950   | 8953  | 8959     | none                  | 3.0.6   | 3604001754
64.31.54.87     | BtvJKGeaDYPX2xKiepTdqzDeJak9JGnX5FGBRYzQzwGr | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
185.44.207.210  | F29QKNsv4NhBk2N3oLPtfMUJuUaspUBV4dZvp8PNY7ex | 8000   | 8003  | 8009     | none                  | 3.0.11  | 3604001754
103.219.171.249 | 5zYoHvMSqEn4rf8rUzhhCwuAGD8cjv8HTGhM5FJTopsX | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
51.81.26.44     | C5exXTcA9zNXKUynWM73NETs4jegcwfPpzG5js3R4N6M | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
67.213.112.221  | C29HVWgXvzEqyiB4gBx5QUrRx4hJaqxXz7LhN7bK733N | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
185.44.207.183  | HScMrQF52tVNDvFgb2y46tycDSvVfjkrUtk1o5Q6YFYH | 8000   | 8003  | 8009     | none                  | 3.1.4   | 2086771155
64.130.63.119   | mcs3TkGVfuB9XaMyYsKAhVmusoRy7N2jc3rEBCanVYN  | 8001   | 8004  | 8010     | none                  | 3.0.13  | 3604001754
185.92.120.148  | 3dSf3Fddbk8JHBRw25TrVqhz2rUPxZCTwn39u6e6yz7x | 50000  | 50003 | 50009    | none                  | 3.0.12  | 3604001754
64.130.36.186   | AHtCwc1YQn16LohMgfVTNKQaa8c3FLi2VGvACeyPacHe | 8000   | 8003  | 8009     | none                  | 3.1.0   | 128318206
51.81.137.184   | DjLkiQGeDwnbVo7sruMu1iQSzkA2iJFaRDY2U2aVFniu | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
64.130.44.146   | ryPHZjhTypJxh8Q3BYHyWPsAhYH6BzyZCoEoDXTqtp1  | 8000   | 8003  | 8009     | none                  | 2.3.6   | 3640012085
85.195.82.131   | 4KYMA4Fg9v9HHttbkgeo8Njpru4DA57a9Lkgmc9y25mT | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
67.213.126.175  | GrLoEbfL6WqydN9FfyY1zyJ7HCXZ2j28CP6TpyavZkyR | 8000   | 8003  | 8009     | none                  | 3.1.0   | 3652419286
84.32.97.4      | GofVHVgf3FtEcMUASpdoy8N8zL2pg1p7czvUSUeaT9dh | 8001   | 8004  | 8010     | none                  | 3.1.0   | 2070519133
64.130.53.99    | HDiCm6SEz6btUUi5NhWTTQnwnscWi72XHYuZjUTr7Tnh | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
208.91.110.102  | 5gLR4ZpvfEJKfGLVLWBKp72GfPZxpi8nryKYLcoDv9d2 | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
157.245.175.155 | 67j8XVrJxL3woZvi5cSbkBFZRYapPtffuDsZx6GFPUAM | 9006   | none  | none     | none                  | 4.0.0   | 1718981463
74.118.139.42   | J1Qc7PCVGhaxWDugbAA6rqm2Vh9j7at4C74m4vUsdbLi | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
72.46.86.125    | 6FTAEGJzkFn8zXUq76hBB5kcmZYGqRGhkznGhe3c6N2r | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
54.37.114.160   | 2E1AcBw22frRDKGEKUdetUsavR8ccyWfPC27Gp9QEiCV | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
204.16.243.91   | 9f1hMJ1ogv3ZcuM4YUzFbJQjNpmpWrFAgUqbgN9Rqkch | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
64.130.59.54    | 95zDUqJEPefB9W4AKJ7SYFT1amyTDpzNCAPpmjFWExp  | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
43.167.176.81   | 4h3NQUd4FrUBN7nDnzZJzVLyH9LFy3kw3t3csVg5Bjn2 | 9000   | 8002  | 8008     | none                  | 3.0.6   | 3604001754
18.209.238.197  | EXJytX6wYPrPikXBhHbqmgr7pksGjRxL39Jd1wViJ3A4 | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
189.1.164.93    | DSLVs8uTDhVuKYbUCtUj3qRMq2n9R83Q82XJorsVPCWe | 8000   | 8003  | 8009     | none                  | 3.0.12  | 3604001754
54.89.239.189   | HQdpQKFASjbhJ6sY2zdq7doMnd9qr6irXS44rk7MwQs1 | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
204.16.245.178  | 5QyArdEMku24pjd14LVfNq9oTsPLZPC1AzNrgZDyiJ73 | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
45.152.160.75   | hiTZ1CqSxpVPNtk8ZaRvqWBVCWffXg1DycJaqQD6YEx  | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
34.241.143.230  | 9VJJa8nx2RgybHkeJVa2PjxibQwcWxxVFQVQw2ukYNy2 | 38000  | 38003 | 38009    | none                  | 3.0.11  | 3604001754
51.222.146.137  | 8V9ETjpA3nqMZhFxhiPi1EEe7HujHp1ZJEzB5tDMgFbL | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
40.160.24.11    | Bo6LfxEcHEjpE7rjti3XcWki8dAqVf5c7KWUtahrCbvE | 9000   | 9003  | 9009     | none                  | 3.0.9   | 3604001754
177.54.159.135  | 8yrg7eDAVM76A1n1Dq4yUMq4qeFMR2DpFAVAxjM2zhTq | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
61.111.3.83     | HDkvuCZyKcUMF18ENKqijjBFXCGhavwBoatKy1Eovnir | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
3.81.5.21       | 5BwjwGv8xteAjz47MRFkr6fp9shTd1iP8YbvzCjHGcbN | 8000   | 8003  | 8004     | none                  | 4.0.0   | 3706929056
